round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.6905285914738973,0.5897435948380039,0.693249441306857,0.6396568161857139,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,binary_crossentropy,0.1,200,4,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.1202683669124913,0.41025641127529305,0.12023052985862508,0.6158245949374709,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.1,200,8,sigmoid,logcosh,4.06,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
12,0.7795318573968023,0.5641025671592126,0.5072626451632315,0.7502383218707075,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,32,sigmoid,binary_crossentropy,2.08,200,1,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.6922631920912327,0.5897435805736444,0.6936412828666353,0.4280266922297537,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
8,0.6932268478931525,0.41025641127529305,0.6934368143318038,0.6015252623817146,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,2.08,200,2,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6933790669481978,0.41025641127529305,0.693382591776216,0.591039084927938,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,8,sigmoid,binary_crossentropy,2.08,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
11,0.12004269825087653,0.5897435805736444,0.12022498071023234,0.46615824569283043,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,8,sigmoid,logcosh,8.02,200,4,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.11991265670866029,0.5897435948380039,0.12022474524631628,0.5061963780705877,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.0,200,8,sigmoid,logcosh,6.039999999999999,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
10,0.6934474278718997,0.410256410511131,0.6933802570242105,0.3851286939090496,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,binary_crossentropy,4.06,200,1,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.12008465342542045,0.4358974364068773,0.12014074090893094,0.5128693995132574,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,logcosh,2.08,200,1,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
