round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
10,0.7708349156583476,0.7264957300618163,0.32804008306947857,0.8665395613734898,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.4,200,80,sigmoid,binary_crossentropy,2.08,14000,1,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,5
7,0.08419933221024326,0.7521367546839591,0.09130068782457747,0.7140133462143126,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.4,200,20,sigmoid,logcosh,2.08,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,20
6,0.6918664391224201,0.649572652629298,0.6933649839732168,0.4823641569075753,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.2,200,40,sigmoid,binary_crossentropy,8.02,14000,2,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,20
7,0.6818132991464729,0.649572652629298,0.6695604086831368,0.7006673023630257,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.0,200,160,sigmoid,binary_crossentropy,2.08,14000,2,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,10
6,0.1188295973926528,0.6495726495726496,0.12015402545749403,0.63298379420325,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,80,sigmoid,logcosh,0.1,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,5
7,0.10103537116804694,0.7179487184581593,0.03739263063333964,0.8951382269111557,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.2,200,20,sigmoid,logcosh,2.08,14000,1,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
8,0.6405808278638073,0.7094017094017094,0.5522870634202166,0.7664442326024785,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.4,200,80,sigmoid,binary_crossentropy,4.06,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,10
8,0.10806204391340925,0.6410256456106137,0.06138677196177673,0.8112488085594032,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.0,200,160,sigmoid,logcosh,2.08,14000,1,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
6,0.1201774579210159,0.35042735271983677,0.12019964737251217,0.43946615858687116,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.1,200,40,sigmoid,logcosh,6.039999999999999,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
6,0.1198280588683919,0.649572652629298,0.12028494705264062,0.5405147760339415,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.4,200,160,sigmoid,logcosh,2.08,14000,4,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,5
6,0.08620749350286956,0.7521367551934006,0.08457406387230235,0.7578646323587692,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.0,200,20,sigmoid,logcosh,4.06,14000,1,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
11,0.08394327527310094,0.7777777777777778,0.09175307631094871,0.7292659678154609,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.30000000000000004,200,40,sigmoid,logcosh,0.1,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
7,0.6935769747465085,0.3504273504273504,0.6934780813149888,0.46901811249518643,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,4.06,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
8,0.08303682155843474,0.7777777782872192,0.09341419402250685,0.7111534795611102,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.4,200,80,sigmoid,logcosh,0.1,14000,4,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
14,0.09602884656916826,0.7948717953812363,0.12407105619192578,0.6291706389308089,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.30000000000000004,200,160,sigmoid,logcosh,4.06,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,5
9,0.6933444519328256,0.3504273504273504,0.6931333606645422,0.5557673977487307,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.2,200,80,sigmoid,binary_crossentropy,2.08,14000,4,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
13,0.57080239821703,0.7521367546839591,0.562980301784719,0.7721639659657037,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.1,200,80,sigmoid,binary_crossentropy,4.06,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,20
